master,taster,category,brand,rating,ranking
Austin,Justin,Root Beer,Fitz's,1,7
Austin,Justin,Root Beer,A&W,2.5,3
Alyssa,Alyssa,Cinnamon Rolls,Companion,3.5,1
Alyssa,Alyssa,Cinnamon Rolls,Sister Schubert's,1.5,5
Alyssa,Alyssa,Cinnamon Rolls,Schnuck's,0,8
Alyssa,Alyssa,Cinnamon Rolls,Cinnabon,1,6
Alyssa,Alyssa,Cinnamon Rolls,Ikea,3.5,2
Alyssa,Alyssa,Cinnamon Rolls,Pillsbury,3,4
Alyssa,Alyssa,Cinnamon Rolls,Panera,0,7
Alyssa,Alyssa,Cinnamon Rolls,Aldi,3,3
Alyssa,Austin,Cinnamon Rolls,Companion,3.5,4
Alyssa,Austin,Cinnamon Rolls,Sister Schubert's,1,7
Alyssa,Austin,Cinnamon Rolls,Schnuck's,1.5,6
Alyssa,Austin,Cinnamon Rolls,Cinnabon,4,2
Alyssa,Austin,Cinnamon Rolls,Ikea,2.5,5
Alyssa,Austin,Cinnamon Rolls,Pillsbury,3.5,3
Alyssa,Austin,Cinnamon Rolls,Panera,1,8
Alyssa,Austin,Cinnamon Rolls,Aldi,4,1
Alyssa,Andrew,Cinnamon Rolls,Companion,3.5,3
Alyssa,Andrew,Cinnamon Rolls,Sister Schubert's,1,7
Alyssa,Andrew,Cinnamon Rolls,Schnuck's,1.5,6
Alyssa,Andrew,Cinnamon Rolls,Cinnabon,2.5,5
Alyssa,Andrew,Cinnamon Rolls,Ikea,3,4
Alyssa,Andrew,Cinnamon Rolls,Pillsbury,4.5,1
Alyssa,Andrew,Cinnamon Rolls,Panera,0.5,8
Alyssa,Andrew,Cinnamon Rolls,Aldi,4,2
Alyssa,Evan,Cinnamon Rolls,Companion,2.5,3
Alyssa,Evan,Cinnamon Rolls,Sister Schubert's,2,5
Alyssa,Evan,Cinnamon Rolls,Schnuck's,2,6
Alyssa,Evan,Cinnamon Rolls,Cinnabon,2.5,4
Alyssa,Evan,Cinnamon Rolls,Ikea,1.5,7
Alyssa,Evan,Cinnamon Rolls,Pillsbury,3.5,1
Alyssa,Evan,Cinnamon Rolls,Panera,0,8
Alyssa,Evan,Cinnamon Rolls,Aldi,3,2
Alyssa,Sam,Cinnamon Rolls,Companion,2,5
Alyssa,Sam,Cinnamon Rolls,Sister Schubert's,1,7
Alyssa,Sam,Cinnamon Rolls,Schnuck's,2.5,3
Alyssa,Sam,Cinnamon Rolls,Cinnabon,2.5,4
Alyssa,Sam,Cinnamon Rolls,Ikea,3,2
Alyssa,Sam,Cinnamon Rolls,Pillsbury,4,1
Alyssa,Sam,Cinnamon Rolls,Panera,0.5,8
Alyssa,Sam,Cinnamon Rolls,Aldi,1,6
Alyssa,Katelin,Cinnamon Rolls,Companion,2.5,4
Alyssa,Katelin,Cinnamon Rolls,Sister Schubert's,0.5,7
Alyssa,Katelin,Cinnamon Rolls,Schnuck's,1.5,6
Alyssa,Katelin,Cinnamon Rolls,Cinnabon,3,3
Alyssa,Katelin,Cinnamon Rolls,Ikea,2,5
Alyssa,Katelin,Cinnamon Rolls,Pillsbury,4,1
Alyssa,Katelin,Cinnamon Rolls,Panera,0,8
Alyssa,Katelin,Cinnamon Rolls,Aldi,3.5,2
Alyssa,Anastasia,Cinnamon Rolls,Companion,3,4
Alyssa,Anastasia,Cinnamon Rolls,Sister Schubert's,0.5,6
Alyssa,Anastasia,Cinnamon Rolls,Schnuck's,1.5,2
Alyssa,Anastasia,Cinnamon Rolls,Cinnabon,1.5,7
Alyssa,Anastasia,Cinnamon Rolls,Ikea,2,5
Alyssa,Anastasia,Cinnamon Rolls,Pillsbury,4,1
Alyssa,Anastasia,Cinnamon Rolls,Panera,1,8
Alyssa,Anastasia,Cinnamon Rolls,Aldi,4,3
Alyssa,Jacob,Cinnamon Rolls,Companion,3,4
Alyssa,Jacob,Cinnamon Rolls,Sister Schubert's,1,7
Alyssa,Jacob,Cinnamon Rolls,Schnuck's,2,5
Alyssa,Jacob,Cinnamon Rolls,Cinnabon,3,3
Alyssa,Jacob,Cinnamon Rolls,Ikea,1,6
Alyssa,Jacob,Cinnamon Rolls,Pillsbury,4,1
Alyssa,Jacob,Cinnamon Rolls,Panera,0.5,8
Alyssa,Jacob,Cinnamon Rolls,Aldi,3.5,2
Alyssa,Justin,Cinnamon Rolls,Companion,4,1
Alyssa,Justin,Cinnamon Rolls,Sister Schubert's,1.5,7
Alyssa,Justin,Cinnamon Rolls,Schnuck's,2,6
Alyssa,Justin,Cinnamon Rolls,Cinnabon,5,4
Alyssa,Justin,Cinnamon Rolls,Ikea,2.5,5
Alyssa,Justin,Cinnamon Rolls,Pillsbury,3.5,2
Alyssa,Justin,Cinnamon Rolls,Panera,1,8
Alyssa,Justin,Cinnamon Rolls,Aldi,3.5,3
