master,taster,category,brand,rating,ranking
Austin,Andrew,Root Beer,Mug,0.5,8
Austin,Andrew,Root Beer,Barq's,2.5,3
Austin,Andrew,Root Beer,Vess,2,6
Austin,Andrew,Root Beer,IBC,2,5
Austin,Andrew,Root Beer,Frostie,5,1
Austin,Andrew,Root Beer,Super Chill,1,7
Austin,Andrew,Root Beer,Fitz's,4,2
Austin,Andrew,Root Beer,A&W,2.5,4
Austin,Evan,Root Beer,Mug,2,6
Austin,Evan,Root Beer,Barq's,3,2
Austin,Evan,Root Beer,Vess,1.5,7
Austin,Evan,Root Beer,IBC,2.5,4
Austin,Evan,Root Beer,Frostie,3.5,1
Austin,Evan,Root Beer,Super Chill,2,5
Austin,Evan,Root Beer,Fitz's,3,3
Austin,Evan,Root Beer,A&W,1,8
Austin,Sam,Root Beer,Mug,1,7
Austin,Sam,Root Beer,Barq's,2,5
Austin,Sam,Root Beer,Vess,0,8
Austin,Sam,Root Beer,IBC,3,3
Austin,Sam,Root Beer,Frostie,4,1
Austin,Sam,Root Beer,Super Chill,2,4
Austin,Sam,Root Beer,Fitz's,1,6
Austin,Sam,Root Beer,A&W,3.5,2
Austin,Katelin,Root Beer,Mug,1.5,5
Austin,Katelin,Root Beer,Barq's,3,1
Austin,Katelin,Root Beer,Vess,0.5,8
Austin,Katelin,Root Beer,IBC,2,4
Austin,Katelin,Root Beer,Frostie,2.5,3
Austin,Katelin,Root Beer,Super Chill,0.5,6
Austin,Katelin,Root Beer,Fitz's,3,2
Austin,Katelin,Root Beer,A&W,0.5,7
Austin,Anastasia,Root Beer,Mug,1,8
Austin,Anastasia,Root Beer,Barq's,1,7
Austin,Anastasia,Root Beer,Vess,1,6
Austin,Anastasia,Root Beer,IBC,2,4
Austin,Anastasia,Root Beer,Frostie,5,1
Austin,Anastasia,Root Beer,Super Chill,1,5
Austin,Anastasia,Root Beer,Fitz's,2,3
Austin,Anastasia,Root Beer,A&W,3,2
Austin,Jacob,Root Beer,Mug,1,8
Austin,Jacob,Root Beer,Barq's,3,3
Austin,Jacob,Root Beer,Vess,1,7
Austin,Jacob,Root Beer,IBC,2.5,4
Austin,Jacob,Root Beer,Frostie,4,1
Austin,Jacob,Root Beer,Super Chill,2.5,5
Austin,Jacob,Root Beer,Fitz's,4,2
Austin,Jacob,Root Beer,A&W,2,6
Austin,Justin,Root Beer,Mug,0.5,8
Austin,Justin,Root Beer,Barq's,3.5,2
Austin,Justin,Root Beer,Vess,2,5
Austin,Justin,Root Beer,IBC,1.5,6
Austin,Justin,Root Beer,Frostie,4.5,1
Austin,Justin,Root Beer,Super Chill,2.5,4
